Electronic Arts,1339
Activision,966
Namco Bandai Games,928
Ubisoft,918
Konami Digital Entertainment,823
THQ,712
Nintendo,696
Sony Computer Entertainment,682
Sega,632
Take-Two Interactive,412
Capcom,376
Atari,347
Tecmo Koei,338
Square Enix,231
Warner Bros. Interactive Entertainment,217
Disney Interactive Studios,214
Eidos Interactive,196
Midway Games,196
505 Games,192
Microsoft Game Studios,189
