Wii Sports,8274
Super Mario Bros.,4531
Grand Theft Auto V,3666
Tetris,3584
Mario Kart Wii,3582
Pokemon Red/Pokemon Blue,3137
Call of Duty: Modern Warfare 3,3083
New Super Mario Bros.,3001
Call of Duty: Black Ops II,2972
Wii Play,2902
