Pokemon Red/Pokemon Blue,1022
Super Mario Bros.,696
Pokemon Diamond/Pokemon Pearl,604
Tetris,603
Pokemon Black/Pokemon White,565
Pokemon Ruby/Pokemon Sapphire,538
Animal Crossing: Wild World,533
Brain Age 2: More Training in Minutes a Day,532
Final Fantasy III,512
Monster Hunter Freedom 3,487
