Wii Sports,2902
Grand Theft Auto V,2304
Mario Kart Wii,1288
FIFA 15,1240
Call of Duty: Modern Warfare 3,1129
FIFA 16,1129
FIFA 14,1114
Wii Sports Resort,1101
FIFA Soccer 13,980
The Sims 3,960
